Article title,Lead section excerpt,Prediction,Prediction probability
Psychology,"Psychology. Psychology is the science of behavior and mind, including conscious and unconscious phenomena, as well as feeling and thought. It is an academic discipline of immense scope and diverse interests that, when taken together, seek an understanding of the emergent properties of brains, and all the variety of epiphenomena they manifest.",1,1.0
Medicine,"Medicine. Medicine is the science and practice of the diagnosis, treatment, and prevention of disease. Medicine encompasses a variety of health care practices evolved to maintain and restore health by the prevention and treatment of illness.",1,1.0
Biology,"Biology. Biology is the natural science that studies life and living organisms, including their physical structure, chemical processes, molecular interactions, physiological mechanisms, development and evolution. Despite the complexity of the science, there are certain unifying concepts that consolidate it into a single, coherent field.",1,1.0
Physics,"Physics. Physics (from , from phýsis ""nature"") is the natural science that studies matter and its motion and behavior through space and time and that studies the related entities of energy and force. Physics is one of the most fundamental scientific disciplines, and its main goal is to understand how the universe behaves.",1,1.0
Social science,"Social science. Social science is a category of academic disciplines, concerned with society and the relationships among individuals within a society. Social science as a whole has many branches, each of which is considered a social science. The social sciences include, but are not limited to: anthropology, archaeology, communication studies, economics, history, human geography, jurisprudence, linguistics, political science, psychology, public health, and sociology.",1,1.0
Sociology,"Sociology. Sociology is the scientific study of society, patterns of social relationships, social interaction, and culture of everyday life. It is a social science that uses various methods of empirical investigation and critical analysis to develop a body of knowledge about social order, acceptance, and change or social evolution.",1,1.0
Anthropology,Anthropology. Anthropology is the study of humans and human behavior and societies in the past and present. Social anthropology and cultural anthropology study the norms and values of societies. Linguistic anthropology studies how language affects social life. Biological or physical anthropology studies the biological development of humans.,1,1.0
Economics,"Economics. Economics is the social science that studies the production, distribution, and consumption of goods and services. Economics focuses on the behaviour and interactions of economic agents and how economies work. Microeconomics analyzes basic elements in the economy, including individual agents and markets, their interactions, and the outcomes of interactions.",1,1.0
Mathematics,"Mathematics. Mathematics (from Greek μάθημα máthēma, ""knowledge, study, learning"") includes the study of such topics as quantity, structure, space, Mathematicians seek and use patterns to formulate new conjectures; they resolve the truth or falsity of conjectures by mathematical proof. When mathematical structures are good models of real phenomena, then mathematical reasoning can provide insight or predictions about nature.",1,1.0
Computer science,"Computer science. Computer science deals with the theoretical foundations of information and computation, together with practical techniques for the implementation and application of these foundations. Computer science is the theory, experimentation, and engineering that form the basis for the design and use of computers. It involves the study of algorithms that process, store, and communicate digital information.",1,1.0
Neuroscience,"Neuroscience. Neuroscience (or neurobiology) is the scientific study of the nervous system. It is a multidisciplinary branch of biology, that combines physiology, anatomy, molecular biology, developmental biology, cytology, mathematical modeling and psychology to understand the fundamental and emergent properties of neurons and neural circuits. The understanding of the biological basis of learning, memory, behavior, perception and consciousness has been described by Eric Kandel as the ""ultimate challenge"" of the biological sciences.",1,1.0
Engineering,"Engineering. Engineering is the creative application of science, mathematical methods, and empirical evidence to the innovation, design, construction, operation and maintenance of structures, machines, materials, devices, systems, processes, and organizations for the benefit of humankind. The discipline of engineering encompasses a broad range of more specialized fields of engineering, each with a more specific emphasis on particular areas of applied mathematics, applied science, and types of application.",1,1.0
Chemistry,"Chemistry. Chemistry is the scientific discipline involved with elements and compounds composed of atoms, molecules and ions: their composition, structure, properties, behavior and the changes they undergo during a reaction with other substances. In the scope of its subject, chemistry occupies an intermediate position between physics and biology. It is sometimes called the central science because it provides a foundation for understanding both basic and applied scientific disciplines at a fundamental level.",1,1.0
Philosophy,"Philosophy. === Knowledge ===Traditionally, the term ""philosophy"" referred to any body of knowledge. In this sense, philosophy is closely related to religion, mathematics, natural science, education and politics. Newton's 1687 ""Mathematical Principles of Natural Philosophy"" is classified in the 2000s as a book of physics; he used the term ""natural philosophy"" because it used to encompass disciplines that later became associated with sciences such as astronomy, medicine and physics.",1,1.0
Archaeology,"Archaeology. Archaeology, or archeology, In North America archaeology is a sub-field of anthropology, while in Europe it is often viewed as either a discipline in its own right or a sub-field of other disciplines. Archaeologists study human prehistory and history, from the development of the first stone tools at Lomekwi in East Africa 3.",1,1.0
Epistemology,"Epistemology. Epistemology is the branch of philosophy concerned with the theory of knowledge. Epistemology is the study of the nature of knowledge, justification, and the rationality of belief.",1,1.0
Ecology,"Ecology. Ecology (from , ""house"", or ""environment""; -λογία, ""study of"") is the branch of biology which studies the interactions among organisms and their environment. Objects of study include interactions of organisms with each other and with abiotic components of their environment. Topics of interest include the biodiversity, distribution, biomass, and populations of organisms, as well as cooperation and competition within and between species.",1,1.0
Physiology,"Physiology. Physiology is the scientific study of the functions and mechanisms which work within a living system. As a sub-discipline of biology, the focus of physiology is in how organisms, organ systems, organs, cells, and biomolecules carry out the chemical and physical functions that exist in a living system.",1,1.0
Linguistics,"Linguistics. Linguistics is the scientific study of language, and involves an analysis of language form, language meaning, and language in context. The earliest activities in the documentation and description of language have been attributed to the 6th century BC Indian grammarian Pāṇini, who wrote a formal description of the Sanskrit language in his .",1,1.0
Political science,"Political science. Political science is a social science which deals with systems of governance, and the analysis of political activities, political thoughts, and political behavior. It deals extensively with the theory and practice of politics which is commonly thought of as determining of the distribution of power and resources.",1,1.0
Ethics,"Ethics. Ethics or moral philosophy is a branch of philosophy that involves systematizing, defending, and recommending concepts of right and wrong conduct. The field of ethics, along with aesthetics, concern matters of value, and thus comprise the branch of philosophy called axiology. Ethics seeks to resolve questions of human morality by defining concepts such as good and evil, right and wrong, virtue and vice, justice and crime.",1,1.0
Cognitive science,"Cognitive science. Cognitive science is the interdisciplinary, scientific study of the mind and its processes. It examines the nature, the tasks, and the functions of cognition (in a broad sense). Cognitive scientists study intelligence and behavior, with a focus on how nervous systems represent, process, and transform information. Mental faculties of concern to cognitive scientists include language, perception, memory, attention, reasoning, and emotion;",1,1.0
Epidemiology,"Epidemiology. Epidemiology is the study and analysis of the distribution (who, when, and where) and determinants of health and disease conditions in defined populations. It is the cornerstone of public health, and shapes policy decisions and evidence-based practice by identifying risk factors for disease and targets for preventive healthcare.",1,0.999
Cultural studies,"Cultural studies. Cultural studies is a field of theoretically, politically, and empirically engaged cultural analysis that concentrates upon the political dynamics of contemporary culture, its historical foundations, defining traits, conflicts, and contingencies. Cultural studies researchers generally investigate how cultural practices relate to wider systems of power associated with or operating through social phenomena, such as ideology, class structures, national formations, ethnicity, sexual orientation, gender, and generation.",1,0.999
Mathematical analysis,"Mathematical analysis. Mathematical analysis is the branch of mathematics dealing with limitsand related theories, such as differentiation, integration, measure, infinite series, and analytic functions. These theories are usually studied in the context of real and complex numbers and functions. Analysis evolved from calculus, which involves the elementary concepts and techniques of analysis.",1,0.999
Geography,"Geography. Geography is a systematic study of the Universe and its features. Traditionally, geography has been associated with cartography and place names. Although many geographers are trained in toponymy and cartology, this is not their main preoccupation. Geographers study the space and the temporal database distribution of phenomena, processes, and features as well as the interaction of humans and their environment.",1,0.999
Biomechanics,"Biomechanics. Biomechanics is the study of the structure and function of the mechanical aspects of biological systems, at any level from whole organisms to organs, cells and cell organelles, using the methods of mechanics.",1,0.999
Human geography,"Human geography. Human geography is the branch of geography that deals with the study of people and their communities, cultures, economies, and interactions with the environment by studying their relations with and across space and place. Human geography attends to human patterns of social interaction, as well as spatial level interdependencies, and how they influence or affect the earth's environment.",1,0.999
Geology,"Geology. Geology (from the Ancient Greek γῆ, gē(""earth"") and -λoγία, -logia, (""study of"", ""discourse"")) is an earth science concerned with the solid Earth, the rocks of which it is composed, and the processes by which they change over time. Geology can also refer to the study of the solid features of any terrestrial planet or natural satellite such as Mars or the Moon.",1,0.999
Biochemistry,"Biochemistry. Biochemistry, sometimes called biological chemistry, is the study of chemical processes within and relating to living organisms. Biochemical processes give rise to the complexity of life. A sub-discipline of both biology and chemistry, biochemistry can be divided in three fields; molecular genetics, protein science and metabolism.",1,0.999
Cognitive psychology,"Cognitive psychology. Cognitive psychology is the study of mental processes such as ""attention, language use, memory, perception, problem solving, creativity, and thinking"". Much of the work derived from cognitive psychology has been integrated into various other modern disciplines such as Cognitive Science and of psychological study, including educational psychology, social psychology, personality psychology, abnormal psychology, developmental psychology, and economics.",1,0.999
Statistics,"Statistics. Statistics is a branch of mathematics dealing with data collection, organization, analysis, interpretation and presentation. In applying statistics to, for example, a scientific, industrial, or social problem, it is conventional to begin with a statistical population or a statistical model process to be studied. Populations can be diverse topics such as ""all people living in a country"" or ""every atom composing a crystal"".",1,0.999
Genetics,"Genetics. Genetics is a branch of biology concerned with the study of genes, genetic variation, and heredity in living organisms. Gregor Mendel, a scientist and Augustinian friar, discovered genetics in the late 19th-century. Mendel studied ""trait inheritance"", patterns in the way traits are handed down from parents to offspring.",1,0.999
Developmental psychology,"Developmental psychology. Developmental psychology is the scientific study of how and why human beings change over the course of their life. Originally concerned with infants and children, the field has expanded to include adolescence, adult development, aging, and the entire lifespan. Developmental psychologists aim to explain how thinking, feeling, and behaviors change throughout life.",1,0.999
Biological anthropology,"Biological anthropology. Biological anthropology, also known as physical anthropology, is a scientific discipline concerned with the biological and behavioral aspects of human beings, their related non-human primates and their extinct hominin ancestors. It is a subfield of anthropology that provides a biological perspective to the systematic study of human beings.",1,0.999
Morphology (biology),"Morphology (biology). Morphology is a branch of biology dealing with the study of the form and structure of organisms and their specific structural features. This includes aspects of the outward appearance (shape, structure, colour, pattern, size), i.e. external morphology (or eidonomy), as well as the form and structure of the internal parts like bones and organs, i.",1,0.999
Linguistic anthropology,"Linguistic anthropology. Linguistic anthropology is the interdisciplinary study of how language influences social life. It is a branch of anthropology that originated from the endeavor to document endangered languages, and has grown over the past century to encompass most aspects of language structure and use.",1,0.998
Neuropsychology,Neuropsychology. Neuropsychology is the study of the structure and function of the brain as they relate to specific psychological processes and behaviours. It is both an experimental and clinical field of psychology that aims to understand how behavior and cognition are influenced by brain functioning and is concerned with the diagnosis and treatment of behavioral and cognitive effects of neurological disorders.,1,0.998
