Article title,Lead section excerpt,Prediction,Prediction probability
Psychology,"Psychology. Psychology is the study of mind and behavior. It is an academic discipline and an applied science which seeks to understand individuals and groups by establishing general principles and researching specific cases. In this field, a professional practitioner or researcher is called a psychologist and can be classified as a social, behavioral, or cognitive scientist.",1,1.0
Biology,"Biology. Biology deals with the study of the many living organisms.(top: E. coli bacteria and gazelle)(bottom: Goliath beetle and tree fern) Biology is a natural science concerned with the study of life and living organisms, including their structure, function, growth, evolution, distribution, and taxonomy. Modern biology is a vast and eclectic field, composed of many branches and subdisciplines.",1,1.0
Medicine,"Medicine. Medicine (UK English , ; US English ) is the science and practice of the diagnosis, treatment, and prevention of disease. The word medicine is derived from the Latin ars medicina, meaning the art of healing. Medicine encompasses a variety of health care practices evolved to maintain and restore health by the prevention and treatment of illness.",1,1.0
Anthropology,"Anthropology. Anthropology is the study of humans. Its main subdivisions are cultural anthropology, which describes the workings of societies around the world, and biological anthropology, which concerns long-term development of the human organism. A related discipline, archaeology, studies past human cultures through investigation of physical evidence. The Oxford Dictionaries define it as ""The study of humankind"", to include ""cultural or social anthropology"" and ""physical anthropology.",1,1.0
Sociology,"Sociology. Sociology is the scientific study of social behaviour, including its origins, development, organization, and institutions. It is a social science that uses various methods of empirical investigation and critical analysis to develop a body of knowledge about social order, social disorder and social change. Many sociologists aim to conduct research that may be applied directly to social policy and welfare, while others focus primarily on refining the theoretical understanding of social processes.",1,1.0
Mathematics,"Mathematics. Mathematics (from Greek μάθημα máthēma, “knowledge, study, learning”) is the study of topics such as quantity (numbers), structure, space, There is a range of views among mathematicians and philosophers as to the exact scope and definition of mathematics. Mathematicians seek out patterns and use them to formulate new conjectures.",1,1.0
Physics,"Physics. Physics (from , from phúsis ""nature"") is the natural science that involves the study of matter and its motion through space and time, along with related concepts such as energy and force. More broadly, it is the general analysis of nature, conducted in order to understand how the universe behaves.",1,1.0
Computer science,"Computer science. Computer science deals with the theoretical foundations of information and computation, together with practical techniques for the implementation and application of these foundations Computer science is the scientific and practical approach to computation and its applications.",1,1.0
Social science,"Social science. Social science is a major category of academic disciplines, concerned with society and the relationships among individuals within a society. It in turn has many branches, each of which is considered a ""social science"". The main social sciences include economics, political science, human geography, demography, sociology, anthropology, archaeology, history, law and linguistics.",1,1.0
Economics,"Economics. Economics is the social science that seeks to describe the factors which determine the production, distribution and consumption of goods and services. The term economics comes from the Ancient Greek from (, ""house"") and (, ""custom"" or ""law""), hence ""rules of the house (hold for good management)"".",1,1.0
