Article title,Lead section excerpt,Prediction,Prediction probability
Psychology,"Psychology. Psychology is the study of behavior and mind, embracing all aspects of conscious and unconscious experience as well as thought. It is an academic discipline and an applied science which seeks to understand individuals and groups by establishing general principles and researching specific cases. In this field, a professional practitioner or researcher is called a psychologist and can be classified as a social, behavioral, or cognitive scientist.",1,1.0
Biology,"Biology. Biology deals with the study of the many living organisms. top: E. coli bacteria and gazelle; bottom: Goliath beetle and tree fern Biology is a natural science concerned with the study of life and living organisms, including their structure, function, growth, evolution, distribution, identification and taxonomy.",1,1.0
Medicine,"Medicine. Medicine (British English ; American English ) is the science and practice of the diagnosis, treatment, and prevention of disease. The word medicine is derived from Latin medicus, meaning ""a physician"". Medicine encompasses a variety of health care practices evolved to maintain and restore health by the prevention and treatment of illness.",1,1.0
Sociology,"Sociology. Sociology is the study of social behavior or society, including its origins, development, organization, networks, and institutions. It is a social science that uses various methods of empirical investigation and critical analysis to develop a body of knowledge about social order, disorder, and change. Many sociologists aim to conduct research that may be applied directly to social policy and welfare, while others focus primarily on refining the theoretical understanding of social processes.",1,1.0
Physics,"Physics. Physics (from , from phúsis ""nature"") is the natural science that involves the study of matter and its motion through space and time, along with related concepts such as energy and force. One of the most fundamental scientific disciplines, the main goal of physics is to understand how the universe behaves.",1,1.0
Mathematics,"Mathematics. Mathematics (from Greek μάθημα máthēma, “knowledge, study, learning”) is the study of topics such as quantity (numbers), structure, space, There is a range of views among mathematicians and philosophers as to the exact scope and definition of mathematics. Mathematicians seek out patterns and use them to formulate new conjectures.",1,1.0
Social science,"Social science. Social science is a major category of academic disciplines, concerned with society and the relationships among individuals within a society. It in turn has many branches, each of which is considered a ""social science"". Social sciences often include anthropology, economics, demography, human geography, political science, psychology, and sociology in addition to many other fields.",1,1.0
Economics,"Economics. Economics is the social science that describes the factors that determine the production, distribution and consumption of goods and services. The term economics comes from the Ancient Greek from (, ""house"") and (, ""custom"" or ""law""), hence ""rules of the house (hold for good management)"".",1,1.0
Computer science,"Computer science. Computer science deals with the theoretical foundations of information and computation, together with practical techniques for the implementation and application of these foundations. Computer science is the scientific and practical approach to computation and its applications. It is the systematic study of the feasibility, structure, expression, and mechanization of the methodical procedures (or algorithms) that underlie the acquisition, representation, processing, storage, communication of, and access to information.",1,1.0
Neuroscience,"Neuroscience. Neuroscience is the scientific study of the nervous system. Traditionally, neuroscience is recognized as a branch of biology. However, it is currently an interdisciplinary science that collaborates with other fields such as chemistry, cognitive science, computer science, engineering, linguistics, mathematics, medicine (including neurology), genetics, and allied disciplines including philosophy, physics, and psychology.",1,1.0
Engineering,"Engineering. Engineering is the application of mathematics, empirical evidence and scientific, economic, social, and practical knowledge in order to invent, innovate, design, build, maintain, research, and improve structures, machines, tools, systems, components, materials, and processes. The discipline of engineering is extremely broad, and encompasses a range of more specialized fields of engineering, each with a more specific emphasis on particular areas of applied science, technology and types of application.",1,1.0
Anthropology,"Anthropology. Anthropology is the study of humans and their societies in the past and present. Its main subdivisions are social anthropology and cultural anthropology, while in Europe, it is viewed as a discipline in its own right, or grouped under other related disciplines such as history.",1,1.0
Archaeology,"Archaeology. Archaeology, or archeology, is the study of human activity through the recovery and analysis of material culture. The archaeological record consists of artifacts, architecture, biofacts or ecofacts, and cultural landscapes. Archaeology can be considered both a social science and a branch of the humanities.",1,1.0
Ecology,"Ecology. Ecology (from , ""house"", or ""environment""; -λογία, ""study of"") is the scientific analysis and study of interactions among organisms and their environment. It is an interdisciplinary field that includes biology, geography, and Earth science. Ecology includes the study of interactions organisms have with each other, other organisms, and with abiotic components of their environment.",1,1.0
Chemistry,"Chemistry. Chemistry is a branch of physical science that studies the composition, structure, properties and change of matter. Chemistry includes topics such as the properties of individual atoms, how atoms form chemical bonds to create chemical compounds, the interactions of substances through intermolecular forces that give matter its general properties, and the interactions between substances through chemical reactions to form different substances.",1,1.0
Physiology,"Physiology. Physiology is the scientific study of the normal function in living systems. A sub-discipline of biology, its focus is in how organisms, organ systems, organs, cells, and biomolecules carry out the chemical or physical functions that exist in a living system.",1,1.0
Science,"Science. Science is a systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe. Contemporary science is typically subdivided into the natural sciences, which study the material world; the social sciences, which study people and societies; and the formal sciences, such as mathematics.",1,1.0
Epistemology,"Epistemology. Epistemology is the branch of philosophy concerned with the theory of knowledge. Epistemology studies the nature of knowledge, the rationality of belief, and justification.",1,1.0
Linguistics,"Linguistics. Linguistics is the scientific study of language. There are three aspects to this study: language form, language meaning, and language in context. The earliest activities in the description of language have been attributed to the 4th century BCE Indian grammarian Pāṇini, who was an early student of linguistics and wrote a formal description of the Sanskrit language in his .",1,1.0
